Age,Gender,Nationality,Annual Income,Education,Employment,Flight Frequency (Annual),Primary Travel Reason,Loyalty Programs,Preferred Flight Class,Booking Method,Food Importance (1-5),Prefers Personalized Entertainment,Willing to Pay for Sustainability,Carbon Footprint Importance (1-5),Used Chauffeur Service,Willing to Upgrade to Premium Economy,Chauffeur Service Influences Booking,Extra Willingness to Pay for Meals (USD),Willingness to Pay More (%),Personalized App Improves Experience,Interest in Personalized Entertainment,Top Frustrations,Airline Selection Values,Useful In-App Features,Faced App Challenges,Type of Challenge,Beta Test Interest,Likelihood to Use Personalized App (1-5),Interest in Personalized Flying Experience
32,Male,Pakistan,112814,Bachelor’s,Student,2–4,Family,,Economy,Travel Aggregator,5,No,Yes,5,No,Maybe,Maybe,33.65,21–30%,Yes,Yes,"Inflight Entertainment, Cost, Sustainability, Cleanliness",Service Quality,"Seat Upgrade Suggestions, Airport Map & Navigation",No,,Yes,3,Very High
38,Female,UAE,79679,Other,Self-employed,2–4,Family,,Business,Travel Aggregator,1,Yes,No,5,Yes,Yes,No,0.0,21–30%,No,Yes,"Delays, Inflight Entertainment, Cost, Cleanliness",,,Yes,Bugs,Yes,4,High
39,Female,UAE,143255,High School,Employed,2–4,Other,Qatar Privilege Club,Business,Travel Aggregator,4,Yes,Maybe,2,No,No,No,48.89,11–20%,No,Maybe,Inflight Entertainment,Comfort,"Seat Upgrade Suggestions, Airport Map & Navigation",Yes,Slow Performance,Maybe,5,High
25,Female,India,145100,High School,Employed,0–1,Leisure,Etihad Guest,Premium Economy,Travel Aggregator,4,Yes,Maybe,2,No,Maybe,Yes,27.56,0–10%,Yes,Yes,Cleanliness,"Price, Loyalty Program","Seat Upgrade Suggestions, Airport Map & Navigation",No,,Yes,4,Moderate
37,Female,India,90525,Master’s,Student,0–1,Other,Qatar Privilege Club,Premium Economy,Other,3,Yes,Yes,1,No,Maybe,Yes,45.4,0–10%,Yes,Maybe,,"Technology, Loyalty Program",Seat Upgrade Suggestions,No,,No,3,Moderate
25,Male,UK,77399,Bachelor’s,Employed,0–1,Emergency,,Economy,Airline App,3,Yes,Maybe,3,No,Yes,Yes,11.71,21–30%,Yes,No,"Check-in Process, Inflight Entertainment, Cleanliness",Comfort,AI-based Entertainment,No,,Maybe,2,Very High
59,Female,USA,59730,Master’s,Employed,2–4,Business,,Economy,Travel Aggregator,5,No,Yes,2,Yes,Maybe,No,32.56,0–10%,Yes,Yes,,"Environmental Responsibility, Technology",Sustainability Score,Yes,Lack of Features,Yes,2,Very High
44,Male,UAE,75972,Master’s,Employed,8+,Business,,Business,Airline App,3,No,Yes,3,No,Yes,Maybe,26.28,0–10%,Yes,Yes,"Check-in Process, Cost, Customer Service, Cleanliness","Comfort, Loyalty Program",Airport Map & Navigation,Yes,User Interface,Yes,4,High
28,Female,UAE,84057,Doctorate,Unemployed,0–1,Leisure,"Qatar Privilege Club, Etihad Guest, Other",Economy,Airline App,5,Indifferent,Maybe,5,No,Maybe,Yes,37.27,11–20%,Yes,Maybe,Food Quality,"Price, Service Quality",,No,,Maybe,5,High
43,Male,India,73984,Bachelor’s,Employed,8+,Leisure,"Emirates Skywards, Etihad Guest",Economy,Airline App,2,Yes,Maybe,1,No,No,Yes,21.49,11–20%,Yes,Yes,"Delays, Food Quality, Cost, Sustainability","Service Quality, Environmental Responsibility","Seat Upgrade Suggestions, AI-based Entertainment, Real-time Luggage Tracker",Yes,Bugs,Yes,3,Very High
37,Male,USA,65906,Master’s,Self-employed,5–7,Leisure,"Emirates Skywards, Other",Economy,Airline App,5,Yes,Yes,3,No,Yes,Yes,32.1,11–20%,Yes,No,"Inflight Entertainment, Customer Service","Environmental Responsibility, Loyalty Program",Real-time Luggage Tracker,No,,Yes,1,Very High
36,Male,UAE,99836,Bachelor’s,Employed,2–4,Leisure,Qatar Privilege Club,Economy,Other,3,Yes,Yes,2,Yes,No,Yes,41.53,11–20%,Yes,No,"Check-in Process, Inflight Entertainment",Loyalty Program,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Real-time Luggage Tracker",No,,No,2,Very High
54,Female,USA,125146,Bachelor’s,Employed,2–4,Family,Qatar Privilege Club,Economy,Agent,1,No,Yes,5,Yes,Yes,Maybe,15.23,11–20%,No,Yes,"Food Quality, Sustainability, Cleanliness",Technology,Seat Upgrade Suggestions,No,,Yes,4,Very High
46,Male,India,74042,Bachelor’s,Self-employed,5–7,Leisure,,Business,Airline App,3,Yes,No,4,Yes,Yes,Yes,28.63,21–30%,Yes,Yes,"Delays, Check-in Process, Cost","Service Quality, Environmental Responsibility",Airport Map & Navigation,No,,Maybe,3,High
37,Female,Philippines,93014,High School,Employed,0–1,Business,"Emirates Skywards, Qatar Privilege Club, Other",First Class,Travel Aggregator,4,Indifferent,Maybe,5,No,Yes,Maybe,0.0,0–10%,No,Yes,"Cost, Cleanliness",Price,AI-based Entertainment,No,,Yes,5,High
31,Male,Philippines,65606,Bachelor’s,Employed,2–4,Emergency,"Emirates Skywards, Qatar Privilege Club",Business,Travel Aggregator,3,No,Yes,2,Yes,No,No,35.54,0–10%,No,Maybe,"Cost, Sustainability, Cleanliness","Price, Loyalty Program",Sustainability Score,Yes,User Interface,No,1,High
40,Male,India,91652,Bachelor’s,Student,2–4,Leisure,Qatar Privilege Club,First Class,Agent,2,Yes,No,2,No,Yes,No,54.32,11–20%,Yes,Maybe,"Check-in Process, Cost, Sustainability","Price, Service Quality",AI-based Entertainment,No,,No,1,High
11,Female,India,99785,Master’s,Student,2–4,Other,,First Class,Travel Aggregator,5,Yes,Yes,4,No,Maybe,Maybe,6.33,>30%,Yes,Maybe,"Delays, Check-in Process, Cost",Loyalty Program,Sustainability Score,No,,No,2,High
17,Male,UK,41530,Master’s,Employed,5–7,Business,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Premium Economy,Airline App,4,No,Yes,5,No,Yes,No,23.63,0–10%,Yes,Yes,"Delays, Check-in Process, Inflight Entertainment, Cost, Customer Service",,Seat Upgrade Suggestions,Yes,Bugs,No,1,Low
51,Male,India,109787,Master’s,Retired,0–1,Other,"Emirates Skywards, Etihad Guest",Economy,Travel Aggregator,5,No,Maybe,3,Yes,Yes,Maybe,38.21,0–10%,Yes,Yes,"Delays, Sustainability","Comfort, Service Quality, Environmental Responsibility","AI-based Entertainment, Real-time Luggage Tracker",No,,Maybe,3,Moderate
60,Female,USA,52558,High School,Self-employed,2–4,Business,Other,Business,Travel Aggregator,5,Yes,Maybe,3,No,Yes,Yes,25.47,11–20%,Yes,Yes,"Delays, Cost, Customer Service, Sustainability",Technology,Real-time Luggage Tracker,No,,Maybe,2,Moderate
36,Male,Philippines,47159,Master’s,Retired,2–4,Business,Qatar Privilege Club,Economy,Travel Aggregator,3,Yes,Yes,5,No,No,No,27.48,11–20%,Yes,Maybe,"Delays, Check-in Process, Customer Service, Cleanliness",Comfort,Airport Map & Navigation,No,,Yes,2,High
42,Male,USA,66621,Bachelor’s,Employed,2–4,Business,"Emirates Skywards, Qatar Privilege Club",Economy,Agent,1,Yes,Yes,3,No,Yes,No,19.14,>30%,Yes,Yes,,Service Quality,Seat Upgrade Suggestions,Yes,Slow Performance,No,2,Moderate
41,Male,Philippines,117144,Master’s,Employed,2–4,Family,Other,Economy,Agent,4,No,Yes,5,No,Yes,Yes,18.58,21–30%,Yes,Yes,"Delays, Inflight Entertainment, Sustainability","Price, Loyalty Program",Seat Upgrade Suggestions,No,,Yes,3,High
78,Female,India,24939,Doctorate,Unemployed,2–4,Emergency,Qatar Privilege Club,Premium Economy,Travel Aggregator,2,Yes,No,5,Yes,Yes,No,23.7,11–20%,Yes,Maybe,"Food Quality, Cost",,"AI-based Entertainment, Real-time Luggage Tracker, Airport Map & Navigation",No,,No,4,Very High
51,Female,UAE,100295,High School,Retired,5–7,Leisure,Emirates Skywards,Economy,Travel Aggregator,2,Yes,Yes,2,Yes,Yes,No,25.63,11–20%,Yes,Yes,"Delays, Food Quality",Price,Sustainability Score,No,,Yes,1,Very High
38,Female,Pakistan,112527,Master’s,Employed,2–4,Other,"Emirates Skywards, Qatar Privilege Club",Economy,Other,1,Yes,No,1,No,Maybe,Maybe,7.28,0–10%,Yes,Yes,"Delays, Inflight Entertainment, Customer Service",,"Sustainability Score, Airport Map & Navigation",No,,Maybe,1,High
26,Female,India,45448,High School,Employed,5–7,Leisure,Qatar Privilege Club,Economy,Airline App,1,Indifferent,Yes,2,No,No,Yes,24.01,11–20%,Yes,Yes,"Food Quality, Inflight Entertainment, Sustainability, Cleanliness",Price,"Seat Upgrade Suggestions, Sustainability Score, Real-time Luggage Tracker",Yes,User Interface,Yes,4,High
28,Male,USA,32158,Bachelor’s,Employed,2–4,Leisure,,Business,Airline App,3,Yes,Yes,3,Yes,Yes,No,48.53,21–30%,Yes,Yes,"Inflight Entertainment, Customer Service","Price, Technology","Sustainability Score, Real-time Luggage Tracker, Airport Map & Navigation",Yes,Bugs,Maybe,2,Very High
40,Male,India,102314,Bachelor’s,Employed,0–1,Family,,Premium Economy,Airline App,2,No,Maybe,1,No,Yes,Yes,18.71,0–10%,No,Maybe,"Food Quality, Inflight Entertainment, Sustainability, Cleanliness",Environmental Responsibility,"Seat Upgrade Suggestions, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,5,Very High
27,Female,UAE,52647,High School,Employed,0–1,Business,"Qatar Privilege Club, Etihad Guest, Other",Business,Agent,4,Yes,Yes,5,No,Maybe,No,6.44,0–10%,Yes,Yes,"Delays, Cost",Service Quality,AI-based Entertainment,No,,Maybe,3,Moderate
24,Male,Other,66417,Master’s,Employed,0–1,Leisure,"Emirates Skywards, Qatar Privilege Club",Economy,Travel Aggregator,1,Yes,Maybe,3,No,Yes,Yes,22.73,>30%,Yes,Yes,,,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,Lack of Features,No,2,Moderate
37,Male,UAE,50345,High School,Retired,2–4,Other,"Qatar Privilege Club, Etihad Guest",Economy,Airline App,1,Yes,No,4,Yes,Maybe,Yes,14.28,11–20%,Yes,Yes,"Delays, Check-in Process, Inflight Entertainment, Customer Service",Loyalty Program,Real-time Luggage Tracker,No,,Maybe,2,High
34,Male,Other,30891,High School,Employed,2–4,Other,,Premium Economy,Other,1,Yes,Maybe,3,No,Yes,Yes,4.92,11–20%,Yes,Yes,Food Quality,"Price, Comfort, Environmental Responsibility, Loyalty Program",,No,,No,2,Moderate
66,Male,Other,58382,Bachelor’s,Self-employed,5–7,Other,,Economy,Travel Aggregator,4,No,Yes,1,Yes,Yes,Yes,27.09,0–10%,Yes,Yes,"Cost, Customer Service",Comfort,Sustainability Score,No,,Maybe,1,Very High
54,Prefer not to say,Pakistan,95173,Master’s,Employed,5–7,Other,Etihad Guest,Premium Economy,Agent,2,Yes,Maybe,1,Yes,Maybe,Yes,14.35,11–20%,Yes,Yes,,"Comfort, Service Quality, Environmental Responsibility, Technology, Loyalty Program","AI-based Entertainment, Airport Map & Navigation",No,,Maybe,1,Moderate
38,Male,USA,108817,Doctorate,Employed,0–1,Business,,Business,Airline App,4,Yes,Yes,5,No,Maybe,Yes,15.63,21–30%,No,No,"Food Quality, Inflight Entertainment, Cost, Sustainability","Comfort, Loyalty Program","Sustainability Score, Airport Map & Navigation",No,,Maybe,5,High
71,Female,USA,43131,Master’s,Employed,2–4,Family,Etihad Guest,Business,Travel Aggregator,4,Yes,Maybe,4,Yes,Yes,No,27.3,0–10%,Yes,Yes,"Check-in Process, Customer Service",Loyalty Program,"Seat Upgrade Suggestions, AI-based Entertainment",Yes,Lack of Features,Yes,3,Moderate
39,Male,Philippines,112894,Master’s,Employed,2–4,Leisure,"Emirates Skywards, Qatar Privilege Club, Other",First Class,Travel Aggregator,3,No,Maybe,5,No,Yes,Maybe,2.0,11–20%,Yes,No,"Delays, Inflight Entertainment, Sustainability","Price, Comfort, Environmental Responsibility, Technology",Real-time Luggage Tracker,No,,No,2,Moderate
25,Non-binary,India,34728,Bachelor’s,Student,2–4,Other,"Qatar Privilege Club, Etihad Guest",Economy,Travel Aggregator,1,Yes,Yes,4,Yes,Yes,Yes,0.0,0–10%,Yes,Yes,Check-in Process,"Price, Environmental Responsibility, Technology","AI-based Entertainment, Airport Map & Navigation",No,,Yes,1,High
64,Male,UK,128023,High School,Retired,0–1,Leisure,,Economy,Travel Aggregator,2,Yes,Yes,4,No,Maybe,Yes,35.06,11–20%,Yes,No,"Delays, Inflight Entertainment, Customer Service, Sustainability",,"Seat Upgrade Suggestions, AI-based Entertainment",No,,Yes,4,High
55,Male,USA,123010,High School,Employed,0–1,Leisure,,Premium Economy,Agent,3,Yes,Maybe,5,No,No,Yes,0.0,>30%,Yes,Yes,"Delays, Cost","Comfort, Technology","Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Maybe,1,Moderate
37,Female,UK,86297,Bachelor’s,Employed,8+,Leisure,Emirates Skywards,Economy,Airline App,3,Indifferent,Maybe,3,No,Yes,No,10.35,11–20%,Yes,Yes,"Delays, Cleanliness",,Seat Upgrade Suggestions,No,,Yes,2,Low
41,Female,UK,77544,Master’s,Employed,5–7,Leisure,,Economy,Agent,5,Yes,Maybe,2,No,Yes,Yes,0.0,>30%,No,Maybe,"Delays, Inflight Entertainment, Cleanliness",Technology,"Sustainability Score, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,2,Very High
31,Male,India,96722,Bachelor’s,Retired,0–1,Business,"Emirates Skywards, Qatar Privilege Club",Economy,Airline App,1,No,Maybe,4,No,Yes,Yes,17.71,>30%,Yes,Yes,"Inflight Entertainment, Cleanliness",Technology,Real-time Luggage Tracker,No,,Yes,1,Moderate
22,Male,USA,69786,Master’s,Student,2–4,Emergency,"Emirates Skywards, Qatar Privilege Club",Economy,Airline App,2,Yes,Maybe,1,No,Yes,Yes,31.42,>30%,Yes,Yes,"Food Quality, Check-in Process, Cost, Sustainability",Environmental Responsibility,Real-time Luggage Tracker,No,,Yes,4,High
51,Male,Philippines,81664,Bachelor’s,Employed,2–4,Family,Etihad Guest,Economy,Airline App,2,Yes,No,5,No,Yes,Yes,26.69,21–30%,Yes,Yes,"Delays, Check-in Process, Cleanliness",Loyalty Program,"AI-based Entertainment, Real-time Luggage Tracker",No,,Yes,4,Moderate
61,Male,India,123788,High School,Self-employed,5–7,Business,"Emirates Skywards, Qatar Privilege Club",Economy,Airline App,2,Yes,Yes,3,Yes,No,Yes,60.88,0–10%,Yes,Yes,"Delays, Check-in Process","Price, Comfort, Technology","Seat Upgrade Suggestions, Sustainability Score, Real-time Luggage Tracker, Airport Map & Navigation",No,,Yes,2,Moderate
24,Male,Other,98354,High School,Student,2–4,Family,"Emirates Skywards, Qatar Privilege Club",Premium Economy,Airline App,1,Yes,Yes,4,No,Yes,Yes,41.3,>30%,No,Yes,"Cost, Sustainability, Cleanliness","Environmental Responsibility, Technology","Seat Upgrade Suggestions, AI-based Entertainment",No,,Yes,1,High
41,Female,USA,117769,Master’s,Employed,0–1,Leisure,"Emirates Skywards, Etihad Guest",Premium Economy,Agent,2,No,No,3,No,Yes,No,11.03,0–10%,Yes,Yes,Customer Service,"Service Quality, Loyalty Program","Sustainability Score, Airport Map & Navigation",No,,No,3,High
28,Male,Philippines,100495,Master’s,Employed,5–7,Leisure,,Business,Travel Aggregator,4,Yes,No,5,No,No,No,7.04,0–10%,Yes,No,Customer Service,"Price, Service Quality, Environmental Responsibility, Technology",Sustainability Score,Yes,Bugs,Yes,3,Very High
32,Male,USA,39418,Master’s,Unemployed,2–4,Business,"Qatar Privilege Club, Etihad Guest",Premium Economy,Travel Aggregator,4,Yes,No,1,Yes,Yes,Yes,65.6,0–10%,No,No,,Comfort,,No,,Maybe,2,Moderate
32,Female,Pakistan,104539,High School,Self-employed,2–4,Emergency,Emirates Skywards,Economy,Travel Aggregator,1,No,Yes,4,Yes,Yes,No,40.94,0–10%,Yes,No,"Food Quality, Check-in Process, Customer Service, Cleanliness",Technology,,Yes,Bugs,Maybe,4,Very High
31,Non-binary,UAE,75955,Other,Employed,2–4,Family,Other,Economy,Airline App,2,Yes,No,4,No,Yes,Yes,33.84,11–20%,Yes,Yes,,"Environmental Responsibility, Technology","Seat Upgrade Suggestions, Airport Map & Navigation",No,,Yes,3,High
36,Female,Philippines,79040,Bachelor’s,Employed,2–4,Leisure,"Qatar Privilege Club, Etihad Guest",Economy,Airline App,5,Yes,Yes,3,No,Yes,Maybe,26.12,11–20%,Yes,Yes,,Loyalty Program,AI-based Entertainment,No,,Yes,1,High
35,Male,UAE,64210,High School,Employed,2–4,Leisure,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Business,Travel Aggregator,5,Indifferent,No,5,No,Maybe,Yes,29.1,0–10%,Yes,No,"Cost, Customer Service, Sustainability, Cleanliness",,,No,,Yes,5,Moderate
46,Male,Philippines,45856,Other,Employed,2–4,Business,"Qatar Privilege Club, Other",Business,Travel Aggregator,5,Yes,No,2,Yes,No,No,2.77,11–20%,Yes,Yes,Delays,"Price, Comfort, Technology","Sustainability Score, Airport Map & Navigation",Yes,User Interface,Maybe,5,Very High
35,Female,Other,51685,Bachelor’s,Self-employed,2–4,Leisure,,Economy,Travel Aggregator,4,No,Yes,4,Yes,Yes,No,27.36,11–20%,Yes,No,"Delays, Food Quality, Check-in Process",Service Quality,Real-time Luggage Tracker,No,,No,4,Moderate
37,Male,India,107981,Master’s,Employed,0–1,Business,"Qatar Privilege Club, Other",Economy,Travel Aggregator,5,Yes,Maybe,1,No,Yes,Yes,26.07,21–30%,No,Yes,"Food Quality, Check-in Process, Cost, Sustainability",Comfort,"Seat Upgrade Suggestions, AI-based Entertainment, Real-time Luggage Tracker",No,,No,5,Very High
37,Male,India,88929,High School,Self-employed,5–7,Business,"Qatar Privilege Club, Other",First Class,Travel Aggregator,2,Yes,No,4,No,Yes,Maybe,11.44,0–10%,Yes,Yes,"Delays, Food Quality","Price, Comfort, Environmental Responsibility, Technology","AI-based Entertainment, Airport Map & Navigation",Yes,Lack of Features,Maybe,1,Low
28,Female,Pakistan,70127,Bachelor’s,Retired,0–1,Leisure,Emirates Skywards,Premium Economy,Travel Aggregator,2,Yes,Maybe,4,Yes,No,Yes,16.92,0–10%,No,Maybe,"Food Quality, Check-in Process, Customer Service, Sustainability",Price,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Airport Map & Navigation",No,,Maybe,2,Very High
44,Female,India,73343,Doctorate,Employed,0–1,Other,"Etihad Guest, Other",Business,Other,5,Indifferent,Yes,2,Yes,No,No,47.73,0–10%,Yes,No,,"Price, Comfort, Service Quality",AI-based Entertainment,Yes,User Interface,Maybe,2,High
51,Female,Philippines,82071,Bachelor’s,Employed,2–4,Leisure,"Emirates Skywards, Etihad Guest, Other",Economy,Airline App,3,Yes,Yes,2,No,Yes,Yes,23.12,0–10%,Yes,No,"Inflight Entertainment, Customer Service, Sustainability",,Airport Map & Navigation,Yes,Slow Performance,Maybe,1,Very High
27,Male,UAE,102079,Master’s,Employed,5–7,Business,"Emirates Skywards, Qatar Privilege Club, Other",Economy,Travel Aggregator,5,Yes,Yes,5,No,Yes,Yes,56.07,11–20%,Yes,Maybe,"Food Quality, Check-in Process, Customer Service, Sustainability","Price, Environmental Responsibility, Loyalty Program",Seat Upgrade Suggestions,No,,Maybe,2,High
43,Male,UAE,86200,High School,Self-employed,5–7,Leisure,Other,Business,Travel Aggregator,3,Indifferent,Yes,4,No,Yes,Yes,0.0,11–20%,No,No,"Food Quality, Cost, Customer Service",Price,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Airport Map & Navigation",No,,Maybe,1,Moderate
57,Non-binary,Other,69387,Bachelor’s,Employed,2–4,Emergency,"Qatar Privilege Club, Other",Premium Economy,Other,1,Yes,Yes,4,No,Maybe,Yes,17.17,0–10%,Yes,Yes,"Delays, Cost",Comfort,AI-based Entertainment,No,,Yes,1,Low
23,Male,USA,108800,Bachelor’s,Self-employed,2–4,Family,,Premium Economy,Airline App,1,No,Yes,3,No,Maybe,Yes,1.79,0–10%,Yes,Maybe,,Loyalty Program,AI-based Entertainment,No,,Maybe,5,Moderate
45,Female,Philippines,112860,Bachelor’s,Retired,5–7,Emergency,Etihad Guest,Premium Economy,Travel Aggregator,2,Yes,Maybe,3,Yes,Maybe,Yes,6.86,0–10%,Yes,No,"Sustainability, Cleanliness",,Airport Map & Navigation,Yes,Slow Performance,Maybe,5,High
28,Female,India,107960,Bachelor’s,Employed,2–4,Leisure,Etihad Guest,Premium Economy,Airline App,4,Yes,Maybe,1,No,Yes,No,12.58,>30%,No,No,"Food Quality, Customer Service, Sustainability, Cleanliness","Price, Technology",,No,,Yes,4,High
48,Female,USA,56213,High School,Unemployed,2–4,Family,"Emirates Skywards, Qatar Privilege Club, Etihad Guest, Other",Business,Travel Aggregator,2,Yes,Maybe,1,No,Maybe,Yes,29.73,0–10%,No,Yes,"Delays, Inflight Entertainment, Cost, Cleanliness","Price, Service Quality","Sustainability Score, AI-based Entertainment, Airport Map & Navigation",Yes,Slow Performance,No,5,Low
28,Male,USA,112914,Doctorate,Unemployed,8+,Business,Etihad Guest,Economy,Airline App,2,Yes,Maybe,3,No,Maybe,Yes,29.0,21–30%,Yes,Maybe,"Check-in Process, Cleanliness","Service Quality, Environmental Responsibility, Loyalty Program",AI-based Entertainment,Yes,User Interface,No,2,Moderate
21,Male,USA,64400,Bachelor’s,Employed,0–1,Leisure,,Economy,Airline App,4,No,No,1,No,Maybe,No,14.81,21–30%,Yes,Yes,"Cost, Customer Service, Cleanliness","Price, Environmental Responsibility","Seat Upgrade Suggestions, Sustainability Score",No,,Yes,5,High
29,Female,USA,102919,Bachelor’s,Employed,8+,Leisure,Emirates Skywards,Business,Travel Aggregator,2,No,No,4,No,Yes,Yes,0.0,0–10%,Yes,Yes,"Delays, Check-in Process, Cost, Customer Service, Cleanliness","Price, Service Quality, Environmental Responsibility, Technology, Loyalty Program",AI-based Entertainment,No,,Maybe,1,Moderate
46,Female,USA,20983,Bachelor’s,Unemployed,5–7,Leisure,Other,Economy,Airline App,4,No,Yes,2,No,Maybe,Yes,47.17,>30%,No,Yes,"Cost, Cleanliness",Comfort,"Seat Upgrade Suggestions, Sustainability Score",No,,Yes,5,Moderate
41,Female,UK,93828,Bachelor’s,Unemployed,2–4,Other,Emirates Skywards,Premium Economy,Airline App,2,Indifferent,Yes,4,No,Yes,Yes,20.71,21–30%,Yes,Yes,"Food Quality, Check-in Process, Cost",Comfort,"AI-based Entertainment, Airport Map & Navigation",Yes,Bugs,Maybe,2,Moderate
32,Male,India,53310,Master’s,Employed,8+,Emergency,,Business,Airline App,1,Yes,Maybe,3,No,No,Yes,8.26,11–20%,Yes,Yes,Inflight Entertainment,"Comfort, Environmental Responsibility",Airport Map & Navigation,No,,Yes,4,Very High
43,Male,Pakistan,83188,Other,Employed,5–7,Business,"Emirates Skywards, Other",First Class,Airline App,3,Indifferent,Maybe,5,Yes,Yes,Yes,29.12,11–20%,No,Maybe,Cost,"Comfort, Loyalty Program","AI-based Entertainment, Real-time Luggage Tracker",No,,Yes,3,Low
27,Female,India,68965,Bachelor’s,Employed,0–1,Business,"Emirates Skywards, Etihad Guest",Economy,Other,2,Indifferent,Maybe,5,No,Maybe,Maybe,28.07,11–20%,Yes,No,"Delays, Check-in Process, Inflight Entertainment",Loyalty Program,,Yes,User Interface,Maybe,1,Very High
36,Female,USA,96462,Master’s,Unemployed,2–4,Leisure,,Economy,Travel Aggregator,3,Yes,Maybe,3,No,Maybe,Yes,20.16,0–10%,Yes,Yes,"Delays, Customer Service","Service Quality, Environmental Responsibility, Loyalty Program","Seat Upgrade Suggestions, AI-based Entertainment, Real-time Luggage Tracker",Yes,Bugs,Yes,2,Moderate
21,Female,India,68317,Bachelor’s,Employed,0–1,Business,,Business,Agent,5,Yes,Yes,4,Yes,Yes,Yes,27.23,0–10%,Yes,No,Customer Service,"Comfort, Service Quality, Loyalty Program","Seat Upgrade Suggestions, Real-time Luggage Tracker",No,,Maybe,2,Moderate
30,Male,USA,89905,High School,Employed,2–4,Leisure,Qatar Privilege Club,Business,Travel Aggregator,2,No,No,1,Yes,No,Yes,7.67,21–30%,Yes,Yes,"Inflight Entertainment, Cost","Price, Technology",Airport Map & Navigation,No,,Yes,3,Very High
47,Female,Pakistan,47643,Master’s,Student,5–7,Other,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Business,Agent,1,Yes,No,1,No,Yes,Yes,36.4,21–30%,Yes,Yes,"Food Quality, Check-in Process, Customer Service, Sustainability, Cleanliness","Service Quality, Environmental Responsibility, Loyalty Program",Seat Upgrade Suggestions,Yes,Slow Performance,Maybe,4,Moderate
28,Female,India,41789,Bachelor’s,Employed,2–4,Other,Qatar Privilege Club,Economy,Travel Aggregator,4,No,Maybe,5,No,Yes,Yes,10.05,0–10%,Yes,Yes,"Delays, Sustainability",Price,"Seat Upgrade Suggestions, Sustainability Score, Airport Map & Navigation",Yes,Bugs,Yes,1,Very High
34,Female,UAE,114389,Master’s,Self-employed,2–4,Leisure,Emirates Skywards,Economy,Travel Aggregator,1,Yes,Maybe,3,Yes,Yes,Yes,15.92,21–30%,Yes,Maybe,"Food Quality, Cost, Customer Service",Technology,,No,,Yes,4,High
55,Male,UAE,42431,Master’s,Employed,2–4,Family,"Emirates Skywards, Qatar Privilege Club, Etihad Guest",Premium Economy,Travel Aggregator,3,Yes,No,3,No,Yes,Yes,34.73,21–30%,Yes,Yes,"Food Quality, Inflight Entertainment, Cleanliness",Price,"Seat Upgrade Suggestions, Sustainability Score, AI-based Entertainment, Real-time Luggage Tracker",No,,Maybe,3,High
48,Male,USA,112621,Bachelor’s,Retired,5–7,Leisure,Other,Business,Travel Aggregator,4,Yes,Yes,2,No,Maybe,Yes,43.06,0–10%,Yes,Yes,"Delays, Food Quality, Check-in Process, Inflight Entertainment","Price, Environmental Responsibility, Technology",Seat Upgrade Suggestions,Yes,Lack of Features,Yes,1,Very High
45,Female,Philippines,65788,Doctorate,Employed,0–1,Business,,Business,Travel Aggregator,1,Yes,Yes,5,No,Yes,Maybe,48.79,11–20%,No,Yes,"Delays, Check-in Process, Sustainability","Comfort, Service Quality, Technology","Real-time Luggage Tracker, Airport Map & Navigation",No,,Maybe,5,Moderate
34,Male,UAE,85383,Master’s,Self-employed,2–4,Leisure,"Qatar Privilege Club, Etihad Guest, Other",Economy,Airline App,1,Yes,Yes,3,Yes,No,Yes,40.84,11–20%,Yes,No,"Delays, Cost, Cleanliness",Comfort,,No,,Maybe,4,Very High
53,Male,Pakistan,103889,Bachelor’s,Self-employed,0–1,Leisure,"Emirates Skywards, Etihad Guest, Other",Economy,Airline App,1,Yes,Maybe,2,No,Maybe,Yes,20.14,21–30%,Yes,No,"Inflight Entertainment, Cost, Sustainability, Cleanliness",Technology,AI-based Entertainment,Yes,Slow Performance,Yes,5,High
55,Female,India,111764,Bachelor’s,Employed,2–4,Family,,Economy,Travel Aggregator,4,Yes,Yes,1,Yes,Maybe,No,1.88,21–30%,Yes,Yes,Cleanliness,"Comfort, Technology, Loyalty Program",Airport Map & Navigation,No,,No,1,High
9,Male,UK,104142,Bachelor’s,Employed,0–1,Business,Etihad Guest,First Class,Travel Aggregator,1,Indifferent,Yes,5,No,Maybe,Yes,46.08,0–10%,Yes,Yes,"Delays, Food Quality, Cost, Sustainability",Price,AI-based Entertainment,Yes,Bugs,Yes,3,High
28,Female,Other,49859,Other,Employed,2–4,Leisure,Etihad Guest,Premium Economy,Airline App,1,Yes,Yes,5,No,Yes,No,45.56,11–20%,No,No,"Check-in Process, Inflight Entertainment, Cost","Environmental Responsibility, Technology, Loyalty Program",Seat Upgrade Suggestions,No,,Yes,5,High
